"DBH","Flower","Abb"
5.2,1,"Li.pr"
5.2,1,"Li.pr"
12.4,0,"Il.an"
13.2,0,"Il.an"
18,0,"Il.an"
11.6,1,"Il.an"
15.4,0,"Il.an"
16.1,1,"Il.an"
10.1,0,"Il.an"
16.9,1,"Il.an"
12.9,0,"Il.an"
17.6,0,"Il.an"
24,1,"Il.an"
14.1,0,"Il.an"
5.2,1,"Au.ja"
7.7,0,"Il.an"
5.4,1,"Li.pr"
9.9,1,"Li.pr"
10,1,"Li.pr"
8.2,1,"Li.pr"
7.4,1,"Li.pr"
5.6,1,"Li.pr"
5.7,1,"Li.pr"
5.9,0,"Il.an"
8.6,1,"Li.pr"
8.8,1,"Li.pr"
6.4,0,"Li.pr"
5.9,1,"Li.pr"
5.4,1,"Li.pr"
5.1,0,"Li.pr"
5.7,0,"Li.pr"
4.9,0,"Li.pr"
5.4,0,"Li.pr"
8.1,1,"Li.pr"
5.9,0,"Li.pr"
9,0,"Il.an"
10.6,1,"Li.pr"
5.3,0,"Li.pr"
5.4,0,"Li.pr"
6.9,0,"Li.pr"
6.4,0,"Li.pr"
7.8,0,"Ce.in"
6.5,1,"Li.pr"
5.2,0,"Li.pr"
4.8,1,"Li.pr"
5,1,"Li.pr"
9.1,1,"Li.pr"
5.7,1,"Li.pr"
6.2,1,"Li.pr"
8.6,0,"Il.an"
10.1,0,"Ne.ac"
13.4,0,"Ce.ha"
7,1,"Li.pr"
8.8,1,"Li.pr"
6.4,1,"Li.pr"
9.9,1,"Li.pr"
10.8,1,"Li.pr"
9.6,1,"Li.pr"
10.7,0,"Il.an"
18.4,0,"Ne.ac"
16.6,0,"Il.an"
12,0,"Il.an"
17,0,"Il.an"
14.2,0,"Il.an"
17.2,0,"Il.an"
14.4,0,"Ne.ac"
15,0,"Il.an"
8.3,0,"Il.an"
8.5,0,"Il.an"
12.9,0,"Il.an"
14.8,0,"Il.an"
5.7,0,"Il.an"
6.3,0,"Ne.ac"
28.2,1,"Ne.ac"
13.6,0,"Il.an"
5.1,0,"Ne.ac"
11.8,1,"Il.an"
15.9,0,"Il.an"
21.3,1,"Il.an"
20.6,0,"Il.an"
13.2,0,"Il.an"
12,0,"Il.an"
7.4,1,"Ne.ac"
9.6,0,"Il.an"
14.5,1,"Ne.ac"
